Year	Milk	Tea	Coffee	Summary
1910	32.2	9.6	21.7	32.2
1911	31.3	10.2	19.7	31.3
1912	34.4	9.6	25.5	34.4
1913	33.1	8.5	21.2	33.1
1914	31.1	8.9	21.8	31.1
1915	29	9.6	25	29
1916	28	9.6	27.1	28
1917	29.7	11.3	28.6	29.7
1918	34	11.3	23.7	34
1919	30.4	5.8	27.9	30.4
1920	34	7.7	27.6	34
1921	33.2	6.5	28.4	33.2
1922	33.5	8	27.8	33.5
1923	32.5	8.5	29.9	32.5
1924	32.7	7.5	28.9	32.7
1925	33.6	8.1	25	33.6
1926	33.5	7.6	29.3	33.5
1927	33.2	6.9	28.7	33.2
1928	33.2	6.9	28.2	33.2
1929	33.4	6.8	28.7	33.4
1930	33.2	6.4	29.5	33.2
1931	33.2	6.5	30.7	33.2
1932	33.8	7.1	29.4	33.8
1933	33.7	7.2	30.1	33.7
1934	32.5	5.5	29.1	32.5
1935	33	6	31.7	33
1936	33.3	6	32.4	33.3
1937	33.5	6.4	31.4	33.5
1938	33.5	6.3	35.2	33.5
1939	34	6.6	35.2	34
1940	34	6.2	36.6	34
1941	34.4	7.3	38	34.4
1942	37	5.2	36.2	37
1943	41	5.7	33.1	41
1944	43.6	5.1	41.8	43.6
1945	44.7	5.2	44.4	44.7
1946	42.1	5.2	46.4	42.1
1947	39.9	5.4	40.8	39.9
1948	38.1	5.4	43.5	38.1
1949	37.5	5.7	45.1	37.5
1950	37.2	5.7	38.6	37.2
1951	37.5	6.1	39.5	37.5
1952	37.6	5.9	38	37.6
1953	37	6.2	37.3	37
1954	36.2	6.4	30.5	36.2
1955	36.2	6	32	36.2
1956	36.3	5.9	31.6	36.3
1957	35.9	5.5	30.6	35.9
1958	35.2	5.5	30.4	35.2
1959	34.4	5.5	30.9	34.4
1960	33.9	5.6	30.7	33.9
1961	33	5.8	31	33
1962	32.9	6	31	32.9
1963	33	6.2	30.8	33
1964	33	6.3	30.5	33
1965	32.9	6.4	29.4	32.9
1966	33	6.5	28.9	33
1967	31.4	6.6	29	31.4
1968	31.3	6.8	29.1	31.3
1969	31.1	6.8	27.6	31.1
1970	31.3	6.8	27.4	31.3
1971	31.3	7.2	25.7	31.3
1972	31	7.3	26.8	31
1973	30.5	7.4	25.8	30.5
1974	29.5	7.5	24.2	29.5
1975	29.5	7.5	23.3	29.5
1976	29.3	7.7	23.7	29.3
1977	29	7.5	17.2	29
1978	28.6	7.2	19.9	28.6
1979	28.2	6.9	21.7	28.2
1980	27.6	7.3	19.2	27.6
1981	27.1	7.2	18.7	27.1
1982	26.4	6.9	18.3	26.4
1983	26.3	7	18.5	26.3
1984	26.4	7.1	18.9	26.4
1985	26.7	7.1	19.3	26.7
1986	26.5	7.1	19.4	26.5
1987	26.1	6.9	18.8	26.1
1988	26.1	7	18.2	26.1
1989	26	6.9	18.8	26
1990	25.7	6.9	19.4	25.7
1991	25.5	7.4	19.5	25.5
1992	25.1	8	18.9	25.1
1993	24.4	8.3	17.2	24.4
1994	24.3	8.1	15.6	24.3
1995	23.9	7.9	15.3	23.9
1996	23.8	7.6	16.8	23.8
1997	23.4	7.2	17.9	23.4
1998	23	8.3	18.3	23
1999	22.9	8.2	19.3	22.9
2000	22.5	7.8	20	22.5
2001	22	8.2	18.5	22
2002	21.9	7.8	18.1	21.9
2003	21.6	7.5	18.5	21.6
2004	21.2	7.3	18.8	21.2
