Year	Milk	Tea	Coffee	Summary: Mean
1910	32.2	9.6	21.7	21.1666666667
1911	31.3	10.2	19.7	20.4
1912	34.4	9.6	25.5	23.1666666667
1913	33.1	8.5	21.2	20.9333333333
1914	31.1	8.9	21.8	20.6
1915	29	9.6	25	21.2
1916	28	9.6	27.1	21.5666666667
1917	29.7	11.3	28.6	23.2
1918	34	11.3	23.7	23.0
1919	30.4	5.8	27.9	21.3666666667
1920	34	7.7	27.6	23.1
1921	33.2	6.5	28.4	22.7
1922	33.5	8	27.8	23.1
1923	32.5	8.5	29.9	23.6333333333
1924	32.7	7.5	28.9	23.0333333333
1925	33.6	8.1	25	22.2333333333
1926	33.5	7.6	29.3	23.4666666667
1927	33.2	6.9	28.7	22.9333333333
1928	33.2	6.9	28.2	22.7666666667
1929	33.4	6.8	28.7	22.9666666667
1930	33.2	6.4	29.5	23.0333333333
1931	33.2	6.5	30.7	23.4666666667
1932	33.8	7.1	29.4	23.4333333333
1933	33.7	7.2	30.1	23.6666666667
1934	32.5	5.5	29.1	22.3666666667
1935	33	6	31.7	23.5666666667
1936	33.3	6	32.4	23.9
1937	33.5	6.4	31.4	23.7666666667
1938	33.5	6.3	35.2	25.0
1939	34	6.6	35.2	25.2666666667
1940	34	6.2	36.6	25.6
1941	34.4	7.3	38	26.5666666667
1942	37	5.2	36.2	26.1333333333
1943	41	5.7	33.1	26.6
1944	43.6	5.1	41.8	30.1666666667
1945	44.7	5.2	44.4	31.4333333333
1946	42.1	5.2	46.4	31.2333333333
1947	39.9	5.4	40.8	28.7
1948	38.1	5.4	43.5	29.0
1949	37.5	5.7	45.1	29.4333333333
1950	37.2	5.7	38.6	27.1666666667
1951	37.5	6.1	39.5	27.7
1952	37.6	5.9	38	27.1666666667
1953	37	6.2	37.3	26.8333333333
1954	36.2	6.4	30.5	24.3666666667
1955	36.2	6	32	24.7333333333
1956	36.3	5.9	31.6	24.6
1957	35.9	5.5	30.6	24.0
1958	35.2	5.5	30.4	23.7
1959	34.4	5.5	30.9	23.6
1960	33.9	5.6	30.7	23.4
1961	33	5.8	31	23.2666666667
1962	32.9	6	31	23.3
1963	33	6.2	30.8	23.3333333333
1964	33	6.3	30.5	23.2666666667
1965	32.9	6.4	29.4	22.9
1966	33	6.5	28.9	22.8
1967	31.4	6.6	29	22.3333333333
1968	31.3	6.8	29.1	22.4
1969	31.1	6.8	27.6	21.8333333333
1970	31.3	6.8	27.4	21.8333333333
1971	31.3	7.2	25.7	21.4
1972	31	7.3	26.8	21.7
1973	30.5	7.4	25.8	21.2333333333
1974	29.5	7.5	24.2	20.4
1975	29.5	7.5	23.3	20.1
1976	29.3	7.7	23.7	20.2333333333
1977	29	7.5	17.2	17.9
1978	28.6	7.2	19.9	18.5666666667
1979	28.2	6.9	21.7	18.9333333333
1980	27.6	7.3	19.2	18.0333333333
1981	27.1	7.2	18.7	17.6666666667
1982	26.4	6.9	18.3	17.2
1983	26.3	7	18.5	17.2666666667
1984	26.4	7.1	18.9	17.4666666667
1985	26.7	7.1	19.3	17.7
1986	26.5	7.1	19.4	17.6666666667
1987	26.1	6.9	18.8	17.2666666667
1988	26.1	7	18.2	17.1
1989	26	6.9	18.8	17.2333333333
1990	25.7	6.9	19.4	17.3333333333
1991	25.5	7.4	19.5	17.4666666667
1992	25.1	8	18.9	17.3333333333
1993	24.4	8.3	17.2	16.6333333333
1994	24.3	8.1	15.6	16.0
1995	23.9	7.9	15.3	15.7
1996	23.8	7.6	16.8	16.0666666667
1997	23.4	7.2	17.9	16.1666666667
1998	23	8.3	18.3	16.5333333333
1999	22.9	8.2	19.3	16.8
2000	22.5	7.8	20	16.7666666667
2001	22	8.2	18.5	16.2333333333
2002	21.9	7.8	18.1	15.9333333333
2003	21.6	7.5	18.5	15.8666666667
2004	21.2	7.3	18.8	15.7666666667
