Year	Points
1910	32.2
1911	31.3
1912	34.4
1913	33.1
1914	31.1
1915	29
1916	28
1917	29.7
1918	34
1919	30.4
1920	34
1921	33.2
1922	33.5
1923	32.5
1924	32.7
1925	33.6
1926	33.5
1927	33.2
1928	33.2
1929	33.4
1930	33.2
1931	33.2
1932	33.8
1933	33.7
1934	32.5
1935	33
1936	33.3
1937	33.5
1938	33.5
1939	34
1940	34
1941	34.4
1942	37
1943	41
1944	43.6
1945	44.7
1946	42.1
1947	39.9
1948	38.1
1949	37.5
1950	37.2
1951	37.5
1952	37.6
1953	37
1954	36.2
1955	36.2
1956	36.3
1957	35.9
1958	35.2
1959	34.4
1960	33.9
1961	33
1962	32.9
1963	33
1964	33
1965	32.9
1966	33
1967	31.4
1968	31.3
1969	31.1
1970	31.3
1971	31.3
1972	31
1973	30.5
1974	29.5
1975	29.5
1976	29.3
1977	29
1978	28.6
1979	28.2
1980	27.6
1981	27.1
1982	26.4
1983	26.3
1984	26.4
1985	26.7
1986	26.5
1987	26.1
1988	26.1
1989	26
1990	25.7
1991	25.5
1992	25.1
1993	24.4
1994	24.3
1995	23.9
1996	23.8
1997	23.4
1998	23
1999	22.9
2000	22.5
2001	22
2002	21.9
2003	21.6
2004	21.2
